id;nombreIndicador;codigoIndicador;unidadMedidaIndicador;valorIndicador;fechaIndicador
1;LIBRA DE COBRE;LIBRA_COBRE;Dólar;3.56;2021-01-04
2;EURO;EURO;Pesos;873.3;2021-01-04
3;DÓLAR OBSERVADO;DOLAR;Pesos;710.95;2021-01-04
4;TASA POLÍTICA MONETARIA (TPM);TPM;Porcentaje;0.5;2021-01-04
5;UNIDAD TRIBUTARIA MENSUAL (UTM);UTM;Pesos;50978;2020-01-01
6;UNIDAD DE FOMENTO (UF);UF;Pesos;29061.89;2021-01-09
7;UNIDAD DE FOMENTO (UF);UF;Pesos;29062.83;2021-01-08
8;UNIDAD DE FOMENTO (UF);UF;Pesos;29063.76;2021-01-07
9;UNIDAD DE FOMENTO (UF);UF;Pesos;29064.7;2021-01-06
10;UNIDAD DE FOMENTO (UF);UF;Pesos;29065.64;2021-01-05
11;UNIDAD DE FOMENTO (UF);UF;Pesos;29066.58;2021-01-04
12;UNIDAD DE FOMENTO (UF);UF;Pesos;29067.52;2020-01-03
13;UNIDAD DE FOMENTO (UF);UF;Pesos;29068.46;2020-01-02
14;UNIDAD DE FOMENTO (UF);UF;Pesos;29069.39;2020-01-01
15;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;30249.27;2021-01-09
16;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;30247.05;2021-01-08
17;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;30244.83;2021-01-07
18;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;30242.61;2021-01-06
19;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;30240.39;2021-01-05
20;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;30238.17;2021-01-04
21;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;30235.95;2020-01-03
22;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;30233.73;2020-01-02
23;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;30231.51;2020-01-01
24;BITCOIN;BITCOIN;Dólar;32195.46;2020-01-02
25;LIBRA DE COBRE;LIBRA_COBRE;Dólar;3.51;2021-01-05
26;EURO;EURO;Pesos;861.65;2021-01-05
27;DÓLAR OBSERVADO;DOLAR;Pesos;702.93;2021-01-05
28;TASA POLÍTICA MONETARIA (TPM);TPM;Porcentaje;0.5;2021-01-05
29;LIBRA DE COBRE;LIBRA_COBRE;Dólar;3.56;2021-01-06
30;EURO;EURO;Pesos;863.72;2021-01-06
31;DÓLAR OBSERVADO;DOLAR;Pesos;702.29;2021-01-06
32;TASA POLÍTICA MONETARIA (TPM);TPM;Porcentaje;0.5;2021-01-06
33;LIBRA DE COBRE;LIBRA_COBRE;Dólar;3.63;2021-01-07
34;EURO;EURO;Pesos;856.2;2021-01-07
35;DÓLAR OBSERVADO;DOLAR;Pesos;696.18;2021-01-07
36;TASA POLÍTICA MONETARIA (TPM);TPM;Porcentaje;0.5;2021-01-07
37;BITCOIN;BITCOIN;Dólar;34046.67;2021-01-05
38;LIBRA DE COBRE;LIBRA_COBRE;Dólar;3.64;2021-01-08
39;EURO;EURO;Pesos;870.41;2021-01-08
40;DÓLAR OBSERVADO;DOLAR;Pesos;709.99;2021-01-08
41;TASA POLÍTICA MONETARIA (TPM);TPM;Porcentaje;0.5;2021-01-08
42;LIBRA DE COBRE;LIBRA_COBRE;Dólar;3.7;2021-01-11
43;EURO;EURO;Pesos;872.19;2021-01-11
44;DÓLAR OBSERVADO;DOLAR;Pesos;713.28;2021-01-11
45;TASA POLÍTICA MONETARIA (TPM);TPM;Porcentaje;0.5;2021-01-11
